"type","code","message","context","selector"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"javascript:void(0)\" title=\"\" style=\"width: 0px; height: 0px; border: 0px; display: none;\"></iframe>","html > head > iframe"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button id=\"button_Home_Ancillary_7\" tabindex=\"0\" class=\"top-nav-arrow-button hidden\">\n\t\t<i class=\"co-arrow-right rot...</button>","#button_Home_Ancillary_7"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button id=\"button_Home_Ancillary_10\" tabindex=\"0\" class=\"top-nav-arrow-button hidden\">\n\t\t<i class=\"co-arrow-right rot...</button>","#button_Home_Ancillary_10"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"minibanner-grocery-text\" found on the web page.","<span id=\"minibanner-grocery-text\" class=\"bodycopy-md\">Add $<span id=\"grocery_amountto...</span>","#minibanner-grocery-text"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_amounttogo\" found on the web page.","<span id=\"grocery_amounttogo\">100.00</span>","#grocery_amounttogo"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_surcharge\" found on the web page.","<span id=\"grocery_surcharge\">a ${1}</span>","#grocery_surcharge"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"right-bar\" found on the web page.","<div id=\"right-bar\" class=\"col-xs-12 col-sm-12 col-md-7 col-lg-7 col-xl-7 col-md-push-5 col-lg-push-5 col-xl-push-5 visible-xs visible-sm hidden-md hidden-lg hidden-xl\">\n\t\t<ul class=\"custom_crumb \" it...</div>","#right-bar"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"minibanner-grocery-text\" found on the web page.","<span id=\"minibanner-grocery-text\" class=\"bodycopy-md\">Add $<span id=\"grocery_amountto...</span>","#minibanner-grocery-text"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_amounttogo\" found on the web page.","<span id=\"grocery_amounttogo\">75.00</span>","#grocery_amounttogo"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_surcharge\" found on the web page.","<span id=\"grocery_surcharge\">a ${1}</span>","#grocery_surcharge"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"minibanner-grocery-text\" found on the web page.","<span id=\"minibanner-grocery-text\" class=\"bodycopy-md\">Add $<span id=\"grocery_amountto...</span>","#minibanner-grocery-text"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_amounttogo\" found on the web page.","<span id=\"grocery_amounttogo\">100.00</span>","#grocery_amounttogo"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_surcharge\" found on the web page.","<span id=\"grocery_surcharge\">a ${1}</span>","#grocery_surcharge"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe height=\"0\" width=\"0\" style=\"display: none; visibility: hidden;\" src=\"https://10270089.fls.doubleclick.net/activityi;src=10270089;type=nonme0;cat=costc0;ord=3777158954738;gtm=45fe3310;auiddc=946775657.1678170136;u2=Welcome%20to%20Costco%20Whol...","html > body > iframe:nth-child(92)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"slick-active\" role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_1_content > div > ul > li:nth-child(1)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_1_content > div > ul > li:nth-child(2)"
"error","WCAG2AA.Principle1.Guideline1_3.1_3_1.F92,ARIA4","This element's role is \"presentation\" but contains child elements with semantic meaning.","<li class=\"slick-active\" role=\"presentation\"><button type=\"button\" id=\"slick...</li>","#Home_Product_Carousel_2_content > div > ul > li:nth-child(1)"
