"type","code","message","context","selector"
"error","WCAG2AA.Principle2.Guideline2_4.2_4_1.H64.1","Iframe element requires a non-empty title attribute that identifies the frame.","<iframe src=\"javascript:void(0)\" title=\"\" style=\"width: 0px; height: 0px; border: 0px; display: none;\"></iframe>","html > head > iframe"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button id=\"button_Home_Ancillary_7\" tabindex=\"0\" class=\"top-nav-arrow-button hidden\">\n\t\t<i class=\"co-arrow-right rot...</button>","#button_Home_Ancillary_7"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_2.H91.Button.Name","This button element does not have a name available to an accessibility API. Valid names are: title undefined, element content, aria-label undefined, aria-labelledby undefined.","<button id=\"button_Home_Ancillary_10\" tabindex=\"0\" class=\"top-nav-arrow-button hidden\">\n\t\t<i class=\"co-arrow-right rot...</button>","#button_Home_Ancillary_10"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"minibanner-grocery-text\" found on the web page.","<span id=\"minibanner-grocery-text\" class=\"bodycopy-md\">Add $<span id=\"grocery_amountto...</span>","#minibanner-grocery-text"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_amounttogo\" found on the web page.","<span id=\"grocery_amounttogo\">100.00</span>","#grocery_amounttogo"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_surcharge\" found on the web page.","<span id=\"grocery_surcharge\">a ${1}</span>","#grocery_surcharge"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"right-bar\" found on the web page.","<div id=\"right-bar\" class=\"col-xs-12 col-sm-12 col-md-7 col-lg-7 col-xl-7 col-md-push-5 col-lg-push-5 col-xl-push-5 visible-xs visible-sm hidden-md hidden-lg hidden-xl\">\n\t\t<ul class=\"custom_crumb \" it...</div>","#right-bar"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"minibanner-grocery-text\" found on the web page.","<span id=\"minibanner-grocery-text\" class=\"bodycopy-md\">Add $<span id=\"grocery_amountto...</span>","#minibanner-grocery-text"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_amounttogo\" found on the web page.","<span id=\"grocery_amounttogo\">75.00</span>","#grocery_amounttogo"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_surcharge\" found on the web page.","<span id=\"grocery_surcharge\">a ${1}</span>","#grocery_surcharge"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"minibanner-grocery-text\" found on the web page.","<span id=\"minibanner-grocery-text\" class=\"bodycopy-md\">Add $<span id=\"grocery_amountto...</span>","#minibanner-grocery-text"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_amounttogo\" found on the web page.","<span id=\"grocery_amounttogo\">100.00</span>","#grocery_amounttogo"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"grocery_surcharge\" found on the web page.","<span id=\"grocery_surcharge\">a ${1}</span>","#grocery_surcharge"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"slick-slide00\" found on the web page.","<div class=\"slick-slide slick-current slick-active\" data-slick-index=\"0\" aria-hidden=\"false\" id=\"slick-slide00\" style=\"width: 212px;\"><div><div class=\"rm-product thu...</div>","#slick-slide00"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"slick-slide10\" found on the web page.","<div class=\"slick-slide slick-current slick-active\" data-slick-index=\"0\" aria-hidden=\"false\" id=\"slick-slide10\" style=\"width: 218px;\"><div><div class=\"rm-product thu...</div>","#slick-slide10"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"slick-slide11\" found on the web page.","<div class=\"slick-slide slick-active\" data-slick-index=\"1\" aria-hidden=\"false\" id=\"slick-slide11\" style=\"width: 218px;\"><div><div class=\"rm-product thu...</div>","#slick-slide11"
"error","WCAG2AA.Principle4.Guideline4_1.4_1_1.F77","Duplicate id attribute value \"slick-slide12\" found on the web page.","<div class=\"slick-slide slick-active\" data-slick-index=\"2\" aria-hidden=\"false\" id=\"slick-slide12\" style=\"width: 218px;\"><div><div class=\"rm-product thu...</div>","#slick-slide12"
